height,shift,merit,gaplen,difficulty,time_utc,adder,startprime
62552,25,30.499939,5928,23.741100,2015-01-30 10:10:21,14775031,2569981000072693913462613756226222163764809531493875026497610866704120018214747992823
62556,25,31.536645,6122,23.698085,2015-01-30 10:28:26,5154829,2026338774234534622158831324054815580691725248080117510483046582030205456292021970957
62696,25,31.910176,6198,23.875192,2015-01-30 14:56:08,8434121,2260451767208897513295438689556438343423994177848980992978781235862382485520177476041
62784,25,30.351143,5894,23.919677,2015-01-30 18:00:55,7453733,2173912978574309204514312066282898891832970811207197395696462773650174532767683034149
63006,25,30.857462,6000,23.785261,2015-01-31 03:13:01,5392831,2787894262996051954686348019177002923466704960301632922923673701702143609638833244607
64397,32,30.286995,6032,23.745161,2015-02-02 09:31:04,944390913,312387586072018220063918645015235935125749413405050740260977308223788429008090887242497
64468,25,31.343052,6102,23.795968,2015-02-02 11:55:50,8458461,3550700729848867838461958626754336836016486630657646631928140266551655809727904944349
64619,32,30.017376,5986,23.973099,2015-02-02 16:47:49,2351544547,403704760742013637606342023504678483868631438850176415951127598786469987000893947099363
64984,25,30.152395,5868,23.537095,2015-02-03 09:12:07,18193347,3301117979775630822678330724812050002194736414226066862653950458366177248587684355011
65793,25,32.155025,6254,23.563141,2015-02-04 16:07:19,29279305,2939138429673658658030719553098889123171340609497262670736391673814350437367773316169
66586,25,30.053992,5850,24.061161,2015-02-05 20:10:08,6490569,3429916923175628059641775761603455613541519660883978435235551089077138271906891499977
67649,32,30.697572,6112,23.840233,2015-02-07 14:02:50,2217028323,294874021395811600664727836038436270105956342238972471224926150619728298305801098177251
67712,25,32.396077,6294,23.942140,2015-02-07 15:53:02,9358625,2376511842377225602786551343420918471887735050224597029861078194849222415135206722849
68616,25,30.537047,5940,23.505978,2015-02-09 05:06:32,14484899,3006212433181449320246427769670582994127253450045064311713357348234081346008171480483
68802,25,30.679151,5972,23.648588,2015-02-09 11:29:17,24187655,3465090503772929038465804858420435467406218814193511381721267450301882006040917119751
69425,25,30.328157,5900,23.655916,2015-02-10 11:52:48,26599673,3069599891306873944963969250114831285575587988579075478663532600902613492866873680121
70184,25,30.065686,5854,23.826282,2015-02-11 15:47:14,23754411,3632307026669025362373860127143969323960952703496170872538743374444268765759306102443
70418,32,32.169000,6412,23.580094,2015-02-12 02:02:09,2474661891,366933832309710500575853474401610186592605913183379497285963303581993316042284413769731
72216,25,31.167562,6070,23.888980,2015-02-14 21:43:28,28449877,3806145128137126274063357650271958890346569404654318243616644958523140479361385372757
75273,25,30.165238,5870,23.414630,2015-02-19 23:47:16,28760547,3246901719829559569733738362982833737240314578652861361855510293206444713262095718883
75726,25,30.879864,6006,23.459838,2015-02-20 17:15:47,1911601,2940346509673432281881159234659082063409668342517831126396083886512317236713323572017
75747,25,33.270374,6480,23.398656,2015-02-20 18:20:08,11732621,3860227707709816376498276685866030747434987039812383622684483411787542506113344931469
76445,32,30.501699,6078,23.507108,2015-02-21 20:20:30,3200472741,347387397620283517142472986251926972134108306236443774667106295773191495267918704498341
76757,25,31.172853,6054,23.317372,2015-02-22 09:25:19,3267457,2204038785756640671903883921324293329319098276625388356990460653360972078612929960833
77270,25,31.866647,6198,23.275652,2015-02-23 06:14:10,2097333,2947274409576749095665232579572687348232464548697864603390632804845460267836943368373
77545,25,31.603231,6152,23.498054,2015-02-23 15:51:24,29344413,3478127415416777809271361312535015909955480423684319094176211543372472773527906271901
77888,25,31.510336,6136,23.048526,2015-02-24 07:40:49,23256079,3715855340680086208703159231799008519991490814171689525330678524212935178496728292367
79002,25,31.058053,6046,23.230779,2015-02-26 02:00:12,25431835,3492292612875602757268383433279808738517963632473906918339719869813431737841669639963
82553,25,30.524470,5926,23.326706,2015-03-03 20:08:15,17414651,2058907494097578734189346342026060176201788719215252725805341221253587658855213021691
82774,25,31.884562,6210,22.954132,2015-03-04 06:57:40,19397309,3849552826136635579101311260860266605489010621415851739576432811137685419989662169789
83244,25,30.241901,5874,23.246043,2015-03-04 23:31:36,25569155,2262967068818877189138978581671872986410034696982937211971155085423082927781983954819
84382,25,31.754427,6166,23.338698,2015-03-06 19:51:24,22405987,2139354131618224304657571949800955643697875614542164404599105423515089139028037329763
84773,32,30.632918,6110,23.158867,2015-03-07 11:53:11,3437524589,420518159417154361858382290593535319460485621092513204663425241860721248251102603015789
86058,25,30.309398,5884,23.242794,2015-03-09 12:45:55,14735959,2042257472934906622423437740115546842905552009740932849287477590772643166908384860759
86401,25,30.489068,5930,22.905229,2015-03-10 04:09:17,7463163,2941124358324773388364591485602818804026205461735734137947744114306279081572759101691
86650,25,30.365183,5904,23.019052,2015-03-10 13:17:48,1997031,2762292666767588665352605203183764828680901630145148146378531428239811200782211905767
87958,25,30.341997,5908,23.170568,2015-03-12 15:18:16,3342963,3656369677210745537425504197082690633023102789753909622280079471640283443999783715443
89384,25,30.017732,5838,23.106045,2015-03-14 23:25:09,6103699,2909254299305952589873454111800719651370572673827547653535738897193517519886035526291
89596,25,30.559032,5952,22.979292,2015-03-15 08:12:05,7768007,3870638108195344253169811350722636320536596267405709591973311709041647158423419520967
91657,25,30.804425,5996,23.156757,2015-03-18 16:11:44,3012269,3421959114283821475946721845055388281107103745129346973931338137157689805580205422253
91924,25,30.736304,5982,22.824410,2015-03-19 04:13:24,4885985,3340507199394478242740241303036353934860915010707998496333761648602742347179080977889
92815,25,31.461322,6122,23.154235,2015-03-20 13:32:25,3493315,3225176687480994783365879404032317512025040718527469852740203819736144329356617272771
93103,32,30.301106,6048,23.103657,2015-03-21 00:58:39,3027916325,482764525396942332904099631381512653505844570026609861386556240837299717204764740179493
94704,25,33.142053,6442,23.216375,2015-03-23 14:52:36,19087127,2607154564086503044241314968828329412213571208095725768355780354203442116209817108247
95874,25,31.590062,6132,23.073845,2015-03-25 12:17:23,23614995,2002769008831820950259390438185746304280241762693965865953989683613789805153381537299
96277,32,30.778082,6144,22.757679,2015-03-26 05:44:33,2040997433,495429749129373087629438043538539080267278506057767935121895051561301455048479521318457
100266,25,31.058962,6034,23.084530,2015-04-01 14:52:05,2710153,2359617723992084097534042534160014049296577222567544793565466361463010010640192985737
102157,25,30.855547,6002,23.087184,2015-04-04 16:45:36,9137467,3010699372774103645382791262841950621705882703263383496563484802039617774162430094651
102169,25,30.277913,5878,23.075543,2015-04-04 17:19:22,197639,2049840095250970686068489243751313010518872133784780260649707606744455111194100040711
103391,25,30.226036,5868,23.008409,2015-04-06 18:12:16,17103359,2054674355805257143785769873350719482340471170647147579696903889461556868402158828031
105872,25,30.763229,5974,23.017480,2015-04-10 19:44:02,10746819,2172174876148525148009117506197012859595754776099944479424130203583866333093765053379
107235,25,30.562811,5940,22.369969,2015-04-13 04:06:05,1505719,2551547990090364177218680556625125111751057790404353824655151284417337435678100093367
107358,25,30.370295,5908,22.550303,2015-04-13 08:01:38,33135325,3049700686354259752528059865588066471752907998843117783961414555327022134755828800221
107694,25,30.788420,5996,22.962545,2015-04-13 18:51:06,11609629,3786318232749471047218831064787583351271336177978883695502184423403863844297301370397
111229,25,31.405758,6108,22.862696,2015-04-19 14:18:54,31354789,2913870975602735686633947516117838781462263393627558964277965405021858912443240968101
114472,25,30.093088,5860,22.859247,2015-04-24 20:29:52,25508467,3713421739147933372492041621591322646009674403419916347416534304408410938676514994803
115039,25,30.454686,5928,22.862003,2015-04-25 18:39:50,19414237,3430469084942774182183580992447108892645027939606519428723727157464772426930590334173
